"location"
Acrisure Stadium
Allegiant Stadium
Arena Corinthians
AT&T Stadium
Bank of America Stadium
Caesars Superdome
Croke Park
Empower Field at Mile High
EverBank Stadium
Ford Field
GEHA Field at Arrowhead Stadium
Gillette Stadium
Hard Rock Stadium
Highmark Stadium
Huntington Bank Field
Lambeau Field
Levi's Stadium
Lincoln Financial Field
Lucas Oil Stadium
Lumen Field
M&T Bank Stadium
Mercedes-Benz Stadium
MetLife Stadium
Nissan Stadium
Northwest Stadium
NRG Stadium
Olympic Stadium
Paycor Stadium
Raymond James Stadium
Santiago Bernabeu Stadium
SoFi Stadium
Soldier Field
State Farm Stadium
Tottenham Hotspur Stadium
U.S. Bank Stadium
Wembley Stadium
